Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,RFM_Recency,Friction_Risk
0.0,30.0,5,Mobile Phone,2,Single,2,1,0.0,111.18,0.0,1.0
3.0,15.0,3,Laptop & Accessory,3,Single,8,1,7.0,146.95,7.0,8.0
20.0,7.0,5,Fashion,5,Married,4,1,6.0,231.73,6.0,7.0
4.0,26.0,3,Laptop & Accessory,3,Married,2,0,0.0,169.32,0.0,0.0
23.0,7.0,4,Mobile Phone,5,Married,4,0,3.0,160.8,3.0,0.0
1.0,15.0,4,Laptop & Accessory,1,Married,2,0,2.0,168.42,2.0,0.0
0.0,6.0,3,Mobile Phone,1,Married,10,1,2.0,147.87,2.0,3.0
19.0,14.0,3,Mobile,1,Single,2,0,0.0,125.87,0.0,0.0
31.0,23.0,4,Laptop & Accessory,5,Single,10,0,3.0,179.05,3.0,0.0
12.0,6.0,4,Grocery,1,Married,2,0,3.0,227.42,3.0,0.0
1.0,20.0,4,Laptop & Accessory,4,Single,7,0,1.0,182.65,1.0,0.0
13.0,8.0,3,Mobile,5,Married,5,0,2.0,133.77,2.0,0.0
11.0,15.0,3,Mobile Phone,1,Married,3,0,3.0,147.71,3.0,0.0
5.0,9.0,6,Mobile Phone,2,Married,6,1,1.0,152.78,1.0,2.0
9.0,17.0,3,Mobile,4,Divorced,2,0,2.0,122.44,2.0,0.0
5.0,15.0,2,Mobile Phone,4,Single,11,0,3.0,146.09,3.0,0.0
14.0,26.0,4,Laptop & Accessory,1,Married,10,1,8.0,152.41,8.0,9.0
20.0,14.0,4,Mobile,1,Married,10,1,0.0,123.8,0.0,1.0
9.0,16.0,3,Fashion,1,Single,2,0,7.0,199.8,7.0,0.0
8.0,9.0,5,Laptop & Accessory,5,Divorced,8,0,10.0,184.57,10.0,0.0
24.0,27.0,4,Grocery,3,Married,4,1,14.0,237.45,14.0,15.0
1.0,6.0,3,Mobile,1,Married,2,0,2.0,127.06,2.0,0.0
17.0,9.0,4,Laptop & Accessory,1,Married,3,1,9.0,203.47,9.0,10.0
17.0,34.0,1,Grocery,2,Divorced,4,1,11.0,233.2,11.0,12.0
9.0,32.0,5,Fashion,4,Divorced,5,0,9.0,234.03,9.0,0.0
2.0,26.0,5,Mobile Phone,5,Divorced,3,0,4.0,156.96,4.0,0.0
12.0,30.0,3,Laptop & Accessory,1,Single,8,0,7.0,141.08,7.0,0.0
23.0,14.0,5,Fashion,3,Single,10,0,1.0,234.65,1.0,0.0
4.0,10.0,3,Laptop & Accessory,4,Single,2,0,7.0,193.55,7.0,0.0
19.0,8.0,3,Grocery,5,Divorced,9,0,9.0,270.48,9.0,0.0
0.0,24.0,3,Laptop & Accessory,3,Divorced,1,1,2.0,146.14,2.0,3.0
7.0,17.0,4,Laptop & Accessory,3,Single,3,0,10.0,179.87,10.0,0.0
4.0,8.0,4,Mobile Phone,4,Married,3,0,8.0,162.48,8.0,0.0
4.0,13.0,3,Laptop & Accessory,1,Married,4,0,7.0,159.15,7.0,0.0
0.0,8.0,1,Laptop & Accessory,3,Married,2,0,7.0,152.06,7.0,0.0
0.0,14.0,5,Mobile,3,Married,1,0,0.0,123.51,0.0,0.0
1.0,10.0,4,Laptop & Accessory,3,Single,11,0,1.0,170.77,1.0,0.0
3.0,30.0,4,Mobile Phone,1,Single,11,0,3.0,147.01,3.0,0.0
9.0,9.0,3,Mobile,1,Married,2,0,0.0,120.61,0.0,0.0
3.0,15.0,5,Laptop & Accessory,2,Divorced,3,1,3.0,175.56,3.0,4.0
8.0,7.0,5,Mobile Phone,4,Divorced,7,0,3.0,157.94,3.0,0.0
9.0,22.0,3,Mobile,3,Single,2,0,4.0,121.44,4.0,0.0
0.0,23.0,4,Laptop & Accessory,3,Married,2,0,2.0,143.77,2.0,0.0
4.0,25.0,4,Mobile Phone,3,Single,3,0,5.0,151.32,5.0,0.0
15.0,8.0,3,Grocery,5,Married,1,0,7.0,276.65,7.0,0.0
7.0,9.0,4,Laptop & Accessory,4,Single,10,0,8.0,176.47,8.0,0.0
9.0,7.0,4,Mobile Phone,3,Married,2,0,0.0,115.63,0.0,0.0
18.0,26.0,3,Laptop & Accessory,3,Single,9,0,1.0,148.5,1.0,0.0
9.0,25.0,2,Laptop & Accessory,5,Married,3,0,11.0,177.08,11.0,0.0
30.0,6.0,5,Laptop & Accessory,3,Married,3,1,2.0,156.6,2.0,3.0
1.0,16.0,4,Mobile Phone,5,Married,3,0,1.0,142.9,1.0,0.0
4.0,14.0,4,Laptop & Accessory,5,Married,9,0,3.0,172.79,3.0,0.0
3.0,14.0,4,Mobile Phone,5,Single,5,0,3.0,145.62,3.0,0.0
10.0,7.0,4,Laptop & Accessory,3,Single,8,0,1.0,193.15,1.0,0.0
23.0,14.0,3,Mobile,1,Married,5,0,0.0,123.8,0.0,0.0
6.0,34.0,3,Laptop & Accessory,3,Married,2,1,7.0,152.07,7.0,8.0
5.0,11.0,4,Laptop & Accessory,4,Single,3,0,3.0,218.55,3.0,0.0
18.0,27.0,4,Mobile Phone,4,Single,3,0,4.0,159.2,4.0,0.0
6.0,36.0,4,Mobile Phone,3,Single,11,0,8.0,165.25,8.0,0.0
11.0,16.0,4,Mobile Phone,1,Married,3,1,3.0,148.26,3.0,4.0
5.0,9.0,4,Mobile Phone,2,Married,2,1,3.0,151.95,3.0,4.0
14.0,27.0,4,Fashion,2,Divorced,6,0,3.0,228.22,3.0,0.0
8.0,17.0,4,Mobile Phone,4,Married,3,0,1.0,145.08,1.0,0.0
14.0,6.0,2,Fashion,5,Divorced,2,0,7.0,183.92,7.0,0.0
16.0,30.0,3,Fashion,5,Single,7,1,2.0,204.48,2.0,3.0
0.0,14.0,3,Mobile,3,Single,2,0,0.0,123.18,0.0,0.0
19.0,13.0,3,Laptop & Accessory,3,Divorced,3,0,0.0,152.58,0.0,0.0
22.0,6.0,4,Grocery,3,Single,8,1,7.0,239.64,7.0,8.0
4.0,13.0,4,Fashion,3,Divorced,2,0,9.0,189.43,9.0,0.0
1.0,16.0,4,Mobile Phone,5,Single,4,1,1.0,156.72,1.0,2.0
0.0,24.0,1,Laptop & Accessory,3,Divorced,3,0,2.0,162.32,2.0,0.0
4.0,13.0,4,Fashion,1,Married,10,0,3.0,215.57,3.0,0.0
30.0,6.0,3,Laptop & Accessory,3,Divorced,3,0,2.0,167.55,2.0,0.0
16.0,31.0,4,Fashion,5,Divorced,3,1,9.0,199.06,9.0,10.0
12.0,9.0,5,Mobile Phone,4,Single,3,0,4.0,149.4,4.0,0.0
0.0,14.0,4,Mobile,1,Single,2,1,0.0,124.39,0.0,1.0
13.0,6.0,3,Laptop & Accessory,3,Single,4,1,0.0,147.28,0.0,1.0
23.0,29.0,4,Grocery,4,Married,5,0,3.0,289.13,3.0,0.0
1.0,18.0,5,Mobile Phone,5,Single,3,1,1.0,151.0,1.0,2.0
1.0,14.0,5,Mobile Phone,1,Married,3,0,2.0,153.89,2.0,0.0
23.0,14.0,5,Fashion,3,Single,10,0,1.0,170.0,1.0,0.0
24.0,7.0,4,Others,2,Married,5,0,7.0,320.17,7.0,0.0
9.0,8.0,3,Mobile,3,Married,7,0,2.0,122.31,2.0,0.0
3.0,11.0,4,Laptop & Accessory,3,Married,2,0,2.0,161.18,2.0,0.0
28.0,29.0,4,Grocery,3,Married,5,0,8.0,299.26,8.0,0.0
22.0,24.0,3,Laptop & Accessory,2,Married,2,1,7.0,168.04,7.0,8.0
19.0,24.0,3,Fashion,3,Divorced,6,0,2.0,205.27,2.0,0.0
5.0,31.0,4,Laptop & Accessory,1,Single,4,0,5.0,177.38,5.0,0.0
7.0,9.0,4,Mobile Phone,1,Single,2,0,3.0,150.0,3.0,0.0
12.0,17.0,4,Laptop & Accessory,1,Married,3,0,10.0,178.43,10.0,0.0
23.0,35.0,4,Grocery,3,Divorced,1,0,7.0,270.46,7.0,0.0
19.0,8.0,3,Others,1,Married,8,1,2.0,293.28,2.0,3.0
13.0,32.0,3,Laptop & Accessory,5,Married,2,0,5.0,183.96,5.0,0.0
7.0,13.0,4,Laptop & Accessory,2,Married,5,0,8.0,202.25,8.0,0.0
24.0,11.0,3,Grocery,4,Married,2,1,10.0,240.26,10.0,11.0
2.0,8.0,3,Laptop & Accessory,1,Married,2,0,3.0,188.53,3.0,0.0
16.0,9.0,4,Fashion,1,Married,4,1,3.0,226.24,3.0,4.0
0.0,7.0,4,Laptop & Accessory,3,Single,2,0,2.0,146.17,2.0,0.0
1.0,18.0,4,Mobile Phone,4,Divorced,3,0,3.0,147.44,3.0,0.0
31.0,23.0,4,Laptop & Accessory,5,Single,10,0,3.0,179.05,3.0,0.0
1.0,11.0,4,Mobile Phone,5,Single,3,0,1.0,154.73,1.0,0.0
21.0,9.0,5,Mobile Phone,1,Married,11,1,1.0,148.8,1.0,2.0
5.0,9.0,4,Mobile Phone,3,Married,2,0,3.0,155.67,3.0,0.0
15.0,23.0,1,Laptop & Accessory,5,Single,4,1,2.0,165.45,2.0,3.0
16.0,25.0,4,Laptop & Accessory,5,Married,8,1,3.0,179.1,3.0,4.0
7.0,9.0,3,Laptop & Accessory,2,Single,1,0,4.0,177.56,4.0,0.0
16.0,10.0,4,Fashion,2,Single,4,0,17.0,202.31,17.0,0.0
19.0,32.0,4,Others,4,Single,5,0,1.0,305.61,1.0,0.0
9.0,23.0,4,Laptop & Accessory,4,Married,3,0,3.0,155.07,3.0,0.0
0.0,14.0,4,Laptop & Accessory,5,Single,7,0,2.0,153.26,2.0,0.0
9.0,33.0,3,Mobile,4,Single,3,0,2.0,123.11,2.0,0.0
0.0,14.0,4,Mobile,4,Divorced,6,0,1.0,125.46,1.0,0.0
20.0,7.0,4,Others,2,Married,11,0,3.0,321.27,3.0,0.0
1.0,12.0,4,Mobile Phone,1,Single,3,0,3.0,156.17,3.0,0.0
3.0,14.0,5,Mobile Phone,2,Married,8,0,4.0,150.32,4.0,0.0
31.0,7.0,6,Fashion,1,Married,5,0,1.0,233.83,1.0,0.0
1.0,13.0,6,Mobile Phone,3,Married,2,0,1.0,148.51,1.0,0.0
19.0,13.0,5,Fashion,2,Single,8,0,3.0,213.65,3.0,0.0
11.0,6.0,4,Fashion,3,Single,10,1,0.0,153.81,0.0,1.0
24.0,7.0,4,Laptop & Accessory,3,Divorced,2,0,14.0,188.47,14.0,0.0
0.0,12.0,4,Mobile,1,Single,2,1,0.0,129.26,0.0,1.0
19.0,27.0,6,Fashion,5,Married,4,1,8.0,233.51,8.0,9.0
9.0,18.0,4,Fashion,2,Single,1,0,8.0,188.58,8.0,0.0
13.0,32.0,3,Laptop & Accessory,4,Married,2,0,13.0,156.05,13.0,0.0
0.0,30.0,1,Mobile Phone,5,Single,2,0,0.0,110.91,0.0,0.0
9.0,9.0,3,Laptop & Accessory,4,Single,5,0,7.0,144.85,7.0,0.0
9.0,10.0,4,Laptop & Accessory,1,Single,2,0,8.0,158.1,8.0,0.0
5.0,18.0,3,Grocery,5,Single,1,1,14.0,237.58,14.0,15.0
6.0,9.0,3,Laptop & Accessory,2,Single,9,0,8.0,175.55,8.0,0.0
19.0,6.0,4,Fashion,5,Married,3,1,5.0,206.73,5.0,6.0
9.0,10.0,3,Laptop & Accessory,4,Married,8,0,2.0,151.31,2.0,0.0
6.0,9.0,3,Mobile,3,Married,2,1,0.0,129.09,0.0,1.0
25.0,8.0,4,Others,3,Single,2,1,12.0,290.68,12.0,13.0
0.0,14.0,5,Mobile,5,Single,1,0,0.0,123.25,0.0,0.0
30.0,18.0,5,Laptop & Accessory,5,Married,6,0,1.0,178.8,1.0,0.0
24.0,12.0,4,Mobile,3,Single,1,0,7.0,128.38,7.0,0.0
8.0,10.0,3,Laptop & Accessory,3,Single,2,1,1.0,142.49,1.0,2.0
8.0,23.0,3,Laptop & Accessory,5,Married,4,1,7.0,189.66,7.0,8.0
1.0,27.0,4,Fashion,3,Divorced,5,0,3.0,223.24,3.0,0.0
12.0,16.0,5,Mobile Phone,4,Divorced,2,0,3.0,153.99,3.0,0.0
18.0,11.0,5,Laptop & Accessory,5,Single,2,1,4.0,157.69,4.0,5.0
4.0,13.0,3,Fashion,5,Married,3,0,2.0,196.37,2.0,0.0
17.0,17.0,5,Laptop & Accessory,3,Married,3,0,1.0,177.57,1.0,0.0
17.0,7.0,3,Mobile,1,Married,5,1,2.0,131.95,2.0,3.0
15.0,9.0,5,Laptop & Accessory,3,Single,4,1,8.0,193.11,8.0,9.0
14.0,13.0,4,Grocery,1,Single,3,1,8.0,289.37,8.0,9.0
1.0,9.0,4,Mobile Phone,5,Married,5,0,1.0,148.22,1.0,0.0
6.0,14.0,4,Laptop & Accessory,2,Divorced,6,0,3.0,217.04,3.0,0.0
1.0,17.0,4,Laptop & Accessory,1,Single,2,0,2.0,174.5,2.0,0.0
12.0,17.0,3,Fashion,2,Divorced,2,0,7.0,176.54,7.0,0.0
0.0,15.0,3,Mobile,5,Single,3,1,0.0,131.72,0.0,1.0
1.0,7.0,4,Mobile Phone,1,Single,3,1,9.0,151.86,9.0,10.0
0.0,10.0,4,Laptop & Accessory,2,Single,2,1,4.0,158.28,4.0,5.0
1.0,16.0,4,Mobile Phone,1,Single,3,0,1.0,135.81,1.0,0.0
8.0,24.0,1,Laptop & Accessory,5,Married,2,0,10.0,152.08,10.0,0.0
11.0,13.0,4,Laptop & Accessory,2,Single,1,0,5.0,140.28,5.0,0.0
6.0,12.0,3,Laptop & Accessory,1,Married,4,0,7.0,177.25,7.0,0.0
16.0,8.0,3,Laptop & Accessory,1,Married,2,1,8.0,178.47,8.0,9.0
1.0,23.0,4,Fashion,5,Single,4,1,3.0,210.64,3.0,4.0
2.0,8.0,5,Laptop & Accessory,1,Married,3,1,8.0,193.34,8.0,9.0
14.0,27.0,4,Fashion,1,Married,6,0,3.0,228.22,3.0,0.0
9.0,22.0,5,Mobile,5,Married,2,1,0.0,123.07,0.0,1.0
9.0,28.0,3,Mobile Phone,3,Single,2,1,0.0,116.75,0.0,1.0
14.0,8.0,3,Grocery,4,Single,2,0,4.0,260.15,4.0,0.0
19.0,9.0,5,Grocery,2,Divorced,11,0,9.0,292.92,9.0,0.0
30.0,6.0,3,Others,5,Divorced,4,1,5.0,297.01,5.0,6.0
1.0,7.0,4,Mobile Phone,4,Single,3,1,5.0,157.02,5.0,6.0
8.0,23.0,3,Laptop & Accessory,5,Divorced,4,1,7.0,189.66,7.0,8.0
18.0,15.0,4,Laptop & Accessory,3,Married,2,0,12.0,155.93,12.0,0.0
26.0,9.0,5,Others,3,Single,3,1,13.0,315.68,13.0,14.0
21.0,6.0,4,Others,2,Single,7,0,0.0,282.65,0.0,0.0
0.0,14.0,3,Mobile,3,Married,2,0,0.0,123.77,0.0,0.0
14.0,9.0,5,Laptop & Accessory,3,Married,8,0,1.0,159.48,1.0,0.0
12.0,16.0,4,Mobile Phone,1,Married,4,0,4.0,172.71,4.0,0.0
15.0,30.0,4,Fashion,3,Single,5,1,3.0,195.82,3.0,4.0
1.0,6.0,4,Laptop & Accessory,1,Married,2,1,7.0,168.34,7.0,8.0
12.0,9.0,4,Mobile Phone,3,Divorced,8,1,2.0,155.57,2.0,3.0
7.0,6.0,4,Mobile,4,Divorced,6,0,2.0,132.94,2.0,0.0
1.0,10.0,4,Mobile Phone,5,Single,3,1,8.0,158.48,8.0,9.0
23.0,6.0,4,Mobile Phone,3,Divorced,3,0,2.0,136.9,2.0,0.0
7.0,16.0,3,Laptop & Accessory,3,Married,2,1,7.0,140.01,7.0,8.0
4.0,14.0,4,Mobile Phone,4,Single,2,0,3.0,154.83,3.0,0.0
28.0,6.0,3,Others,5,Single,1,1,13.0,290.45,13.0,14.0
0.0,29.0,3,Fashion,5,Married,10,1,2.0,199.5,2.0,3.0
14.0,16.0,4,Mobile Phone,4,Married,10,1,1.0,161.17,1.0,2.0
18.0,34.0,4,Grocery,4,Single,2,0,6.0,267.04,6.0,0.0
1.0,21.0,4,Mobile Phone,3,Single,3,0,1.0,140.14,1.0,0.0
9.0,8.0,3,Laptop & Accessory,4,Married,5,1,0.0,169.62,0.0,1.0
1.0,29.0,4,Mobile Phone,3,Single,3,0,3.0,159.47,3.0,0.0
21.0,12.0,4,Laptop & Accessory,3,Single,3,0,2.0,142.4,2.0,0.0
14.0,14.0,5,Fashion,2,Single,3,0,3.0,206.5,3.0,0.0
1.0,22.0,4,Mobile Phone,3,Married,3,0,3.0,151.1,3.0,0.0
9.0,12.0,1,Mobile Phone,5,Divorced,2,1,0.0,116.01,0.0,1.0
9.0,11.0,4,Laptop & Accessory,3,Single,3,1,2.0,167.49,2.0,3.0
10.0,19.0,4,Laptop & Accessory,3,Married,11,1,2.0,171.63,2.0,3.0
4.0,14.0,5,Mobile Phone,4,Married,3,0,2.0,146.41,2.0,0.0
19.0,9.0,5,Laptop & Accessory,1,Married,3,0,10.0,182.7,10.0,0.0
15.0,16.0,3,Mobile,3,Married,4,0,3.0,129.36,3.0,0.0
18.0,8.0,4,Mobile Phone,1,Single,8,1,3.0,149.36,3.0,4.0
0.0,14.0,3,Mobile,5,Married,2,0,2.0,125.0,2.0,0.0
1.0,7.0,5,Mobile Phone,3,Married,8,1,3.0,153.0,3.0,4.0
15.0,10.0,3,Others,1,Married,2,0,15.0,292.32,15.0,0.0
1.0,16.0,4,Mobile Phone,2,Single,3,0,3.0,151.1,3.0,0.0
7.0,9.0,5,Laptop & Accessory,5,Single,4,0,12.0,147.59,12.0,0.0
7.0,15.0,4,Laptop & Accessory,3,Married,2,0,3.0,196.04,3.0,0.0
4.0,10.0,1,Mobile Phone,3,Married,9,0,2.0,139.78,2.0,0.0
18.0,11.0,2,Others,5,Married,3,0,14.0,316.9,14.0,0.0
21.0,9.0,4,Mobile Phone,3,Single,6,0,1.0,149.79,1.0,0.0
5.0,19.0,4,Mobile,4,Married,2,0,2.0,134.0,2.0,0.0
13.0,8.0,3,Laptop & Accessory,4,Married,4,0,10.0,156.77,10.0,0.0
6.0,14.0,3,Mobile,2,Single,1,0,2.0,125.0,2.0,0.0
4.0,9.0,4,Mobile Phone,2,Single,2,0,8.0,150.64,8.0,0.0
1.0,7.0,5,Mobile Phone,4,Single,3,0,1.0,153.36,1.0,0.0
8.0,33.0,5,Mobile Phone,3,Married,3,0,1.0,145.29,1.0,0.0
9.0,21.0,3,Mobile Phone,1,Single,2,0,0.0,112.32,0.0,0.0
1.0,21.0,5,Mobile Phone,4,Married,3,1,3.0,162.43,3.0,4.0
0.0,8.0,4,Laptop & Accessory,4,Single,8,1,2.0,199.07,2.0,3.0
30.0,14.0,3,Mobile,3,Married,2,0,2.0,123.72,2.0,0.0
1.0,33.0,4,Mobile Phone,1,Married,3,0,3.0,154.04,3.0,0.0
5.0,14.0,3,Mobile,5,Single,2,0,2.0,124.39,2.0,0.0
2.0,23.0,3,Laptop & Accessory,5,Single,2,0,8.0,181.61,8.0,0.0
0.0,22.0,1,Mobile,5,Single,2,0,14.0,127.43,14.0,0.0
1.0,34.0,4,Fashion,2,Divorced,3,0,10.0,201.39,10.0,0.0
9.0,9.0,3,Mobile Phone,3,Single,2,0,0.0,114.2,0.0,0.0
22.0,13.0,4,Fashion,3,Single,9,0,3.0,209.65,3.0,0.0
6.0,6.0,1,Laptop & Accessory,5,Married,2,0,8.0,140.37,8.0,0.0
3.0,18.0,3,Laptop & Accessory,3,Single,1,0,4.0,165.77,4.0,0.0
4.0,12.0,5,Laptop & Accessory,3,Married,3,0,3.0,186.18,3.0,0.0
8.0,8.0,3,Laptop & Accessory,4,Single,6,0,2.0,144.25,2.0,0.0
25.0,10.0,4,Grocery,4,Single,5,0,1.0,262.34,1.0,0.0
7.0,21.0,3,Laptop & Accessory,5,Single,2,0,6.0,161.25,6.0,0.0
11.0,8.0,4,Fashion,3,Married,4,1,2.0,177.56,2.0,3.0
3.0,14.0,3,Fashion,3,Married,6,0,7.0,172.64,7.0,0.0
14.0,7.0,4,Laptop & Accessory,3,Married,9,0,2.0,192.28,2.0,0.0
1.0,18.0,4,Laptop & Accessory,5,Divorced,3,1,4.0,172.41,4.0,5.0
1.0,13.0,4,Mobile Phone,1,Married,3,1,3.0,81.0,3.0,4.0
18.0,13.0,3,Fashion,5,Married,3,0,0.0,197.24,0.0,0.0
20.0,20.0,3,Laptop & Accessory,5,Single,3,0,7.0,149.6,7.0,0.0
9.0,20.0,3,Mobile Phone,3,Single,2,0,0.0,115.14,0.0,0.0
17.0,34.0,3,Grocery,5,Divorced,4,0,17.0,263.28,17.0,0.0
21.0,35.0,3,Fashion,3,Married,4,0,3.0,225.04,3.0,0.0
20.0,8.0,3,Grocery,1,Married,2,1,0.0,267.52,0.0,1.0
1.0,20.0,5,Laptop & Accessory,5,Married,7,1,3.0,186.34,3.0,4.0
9.0,13.0,4,Mobile,4,Married,2,0,1.0,121.41,1.0,0.0
22.0,8.0,5,Others,1,Single,8,0,1.0,307.65,1.0,0.0
0.0,35.0,4,Mobile,4,Single,1,0,4.0,134.79,4.0,0.0
9.0,8.0,4,Mobile,3,Single,2,0,2.0,120.44,2.0,0.0
16.0,28.0,4,Laptop & Accessory,3,Married,4,0,3.0,177.65,3.0,0.0
1.0,6.0,5,Mobile Phone,3,Single,3,0,3.0,155.33,3.0,0.0
24.0,27.0,4,Grocery,3,Married,4,1,14.0,237.45,14.0,15.0
4.0,13.0,2,Laptop & Accessory,2,Divorced,5,0,7.0,169.29,7.0,0.0
5.0,25.0,2,Mobile,3,Married,7,1,2.0,127.59,2.0,3.0
12.0,9.0,2,Laptop & Accessory,5,Single,8,1,13.0,184.8,13.0,14.0
15.0,10.0,5,Laptop & Accessory,4,Married,4,0,3.0,214.38,3.0,0.0
19.0,24.0,3,Fashion,3,Married,6,0,2.0,205.27,2.0,0.0
0.0,14.0,4,Mobile,3,Married,2,1,7.0,123.66,7.0,8.0
30.0,8.0,3,Grocery,4,Married,5,0,14.0,262.91,14.0,0.0
10.0,9.0,3,Laptop & Accessory,4,Single,4,0,1.0,141.07,1.0,0.0
0.0,8.0,3,Mobile Phone,3,Single,7,0,1.0,143.82,1.0,0.0
8.0,6.0,3,Laptop & Accessory,3,Single,2,0,3.0,148.59,3.0,0.0
26.0,13.0,1,Grocery,3,Married,4,0,3.0,248.14,3.0,0.0
6.0,12.0,2,Mobile Phone,4,Married,2,1,6.0,157.98,6.0,7.0
3.0,21.0,4,Fashion,5,Married,3,0,7.0,171.4,7.0,0.0
27.0,9.0,3,Laptop & Accessory,5,Divorced,3,0,5.0,159.4,5.0,0.0
7.0,14.0,1,Laptop & Accessory,3,Married,2,0,8.0,167.99,8.0,0.0
21.0,9.0,4,Laptop & Accessory,2,Married,7,0,5.0,175.7,5.0,0.0
0.0,33.0,3,Fashion,1,Married,2,0,9.0,176.39,9.0,0.0
0.0,14.0,2,Mobile,4,Married,2,1,2.0,123.28,2.0,3.0
6.0,10.0,4,Mobile Phone,4,Married,9,0,2.0,138.38,2.0,0.0
15.0,11.0,4,Fashion,3,Married,2,1,3.0,229.47,3.0,4.0
4.0,15.0,2,Fashion,5,Married,2,1,8.0,239.16000000000005,8.0,9.0
19.0,8.0,3,Laptop & Accessory,1,Married,3,0,4.0,173.79,4.0,0.0
6.0,31.0,4,Laptop & Accessory,4,Single,2,0,2.0,143.2,2.0,0.0
27.0,9.0,5,Fashion,4,Married,4,0,13.0,200.25,13.0,0.0
7.0,27.0,1,Laptop & Accessory,1,Single,2,0,7.0,153.37,7.0,0.0
0.0,14.0,3,Mobile,5,Divorced,2,0,2.0,125.0,2.0,0.0
18.0,26.0,3,Grocery,1,Married,1,1,10.0,234.96,10.0,11.0
13.0,25.0,3,Laptop & Accessory,2,Divorced,9,1,7.0,127.41,7.0,8.0
22.0,8.0,4,Laptop & Accessory,4,Married,3,0,8.0,153.9,8.0,0.0
8.0,8.0,3,Laptop & Accessory,1,Married,3,0,7.0,157.62,7.0,0.0
1.0,16.0,4,Mobile Phone,5,Single,3,0,3.0,152.28,3.0,0.0
7.0,10.0,3,Laptop & Accessory,3,Married,10,0,2.0,165.38,2.0,0.0
11.0,14.0,3,Mobile,4,Married,6,0,8.0,125.92,8.0,0.0
8.0,17.0,3,Mobile,3,Married,8,1,2.0,126.6,2.0,3.0
1.0,10.0,5,Mobile Phone,3,Single,3,0,3.0,155.33,3.0,0.0
25.0,18.0,5,Grocery,4,Single,5,0,4.0,256.42,4.0,0.0
19.0,9.0,4,Laptop & Accessory,1,Single,6,0,4.0,176.6,4.0,0.0
1.0,18.0,5,Mobile Phone,5,Single,3,1,1.0,151.0,1.0,2.0
3.0,22.0,5,Laptop & Accessory,3,Single,2,1,9.0,166.93,9.0,10.0
2.0,15.0,5,Mobile Phone,2,Married,3,0,5.0,174.36,5.0,0.0
9.0,8.0,4,Laptop & Accessory,1,Single,2,0,8.0,138.86,8.0,0.0
15.0,12.0,2,Laptop & Accessory,4,Single,5,0,3.0,193.7,3.0,0.0
21.0,7.0,4,Others,1,Single,7,0,0.0,282.65,0.0,0.0
28.0,10.0,4,Laptop & Accessory,5,Divorced,4,0,6.0,184.4,6.0,0.0
31.0,31.0,2,Fashion,1,Married,5,1,3.0,219.39,3.0,4.0
4.0,9.0,5,Laptop & Accessory,1,Single,7,1,1.0,193.77,1.0,2.0
1.0,11.0,4,Mobile Phone,5,Single,3,0,1.0,154.73,1.0,0.0
